Id,Requester id,Group,Status,Priority,Via,Created at,Initially assigned at,Assigned at,Solved at,Updated at,CreatedToUpdated_Days,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories,SolvedOnly,CtoIA HOurs,IAtoS Hours,Satisfaction Rating
337516,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,06-06-23 16:56,06-06-23 16:56,06-06-23 16:56,06-06-23 16:56,12,298,,0,0,,17876,9116,17876,9116,17876,9116,,0,298,0,
337522,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 17:25,29-05-23 17:25,29-05-23 17:25,18-06-23 17:36,24,106,,0,0,,6385,3386,6385,3386,6385,3386,,0,107,0,
337526,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 15:24,29-05-23 15:24,29-05-23 15:24,29-05-23 15:24,4,104,,0,0,,6263,3264,6263,3264,6263,3264,,0,105,0,
337542,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,31-05-23 16:35,31-05-23 16:35,31-05-23 16:35,31-05-23 16:35,6,154,,0,0,,9215,4775,9215,4775,9215,4775,,0,154,0,
337530,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 17:26,29-05-23 17:26,29-05-23 17:26,18-06-23 17:36,24,106,,0,0,,6386,3386,6386,3386,6386,3386,,0,107,0,
338837,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,29-05-23 13:20,29-05-23 13:20,29-05-23 13:20,29-05-23 13:20,3,78,,0,0,,4698,2420,4698,2420,4698,2420,,0,79,0,
337565,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,29-05-23 10:42,29-05-23 10:42,29-05-23 10:42,29-05-23 10:42,4,100,,0,0,,5981,2983,5981,2983,5981,2983,,0,100,0,
337587,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,31-05-23 15:23,31-05-23 15:23,31-05-23 15:23,31-05-23 15:23,6,152,,0,0,,9141,4703,9141,4703,9141,4703,,0,153,0,
337535,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,01-06-23 15:29,01-06-23 15:29,01-06-23 15:29,01-06-23 15:29,7,176,,0,0,,10589,5430,10589,5430,10589,5430,,0,177,0,
336467,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,29-05-23 17:21,29-05-23 17:21,29-05-23 17:21,18-06-23 17:36,25,130,,0,0,,7819,4102,7819,4102,7819,4102,,0,131,0,
336468,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,07-06-23 12:58,07-06-23 12:58,07-06-23 12:58,07-06-23 12:58,14,342,,0,0,,20516,10319,20516,10319,20516,10319,,0,342,0,
336471,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,24-05-23 13:27,24-05-23 13:27,24-05-23 13:27,24-05-23 13:27,0,6,,0,0,,385,267,385,267,385,267,,0,7,0,
336477,6.72163E+12,Endorsements,Closed,Low,Mail,24-05-23 7:02,29-05-23 17:22,29-05-23 17:22,29-05-23 17:22,18-06-23 17:36,25,130,,0,0,,7820,4103,7820,4103,7820,4103,,0,131,0,
294240,6.72163E+12,Endorsements,Closed,Low,Mail,05-04-23 7:00,07-04-23 15:24,07-04-23 15:24,07-04-23 15:24,07-04-23 15:24,2,56,,0,0,,3384,1824,3384,1824,3384,1824,,0,57,0,
337537,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,30-05-23 18:28,30-05-23 18:28,30-05-23 18:28,30-05-23 18:28,5,131,,0,0,,7888,4169,7888,4169,7888,4169,,0,132,0,
337538,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,26-05-23 18:09,26-05-23 18:09,26-05-23 18:09,26-05-23 18:09,1,35,,0,0,,2109,1269,2109,1269,2109,1269,,0,36,0,
337595,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,26-05-23 19:55,26-05-23 19:55,26-05-23 19:55,26-05-23 19:55,2,37,,0,0,,2214,1376,2214,1376,2214,1376,,0,37,0,
337598,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,29-05-23 9:03,29-05-23 9:03,29-05-23 9:03,29-05-23 9:03,4,98,,0,0,,5881,2883,5881,2883,5881,2883,,0,99,0,
337602,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,09-06-23 13:02,09-06-23 13:02,09-06-23 13:02,09-06-23 13:02,15,366,,0,0,,21960,11042,21960,11042,21960,11042,,0,366,0,
291707,6.72163E+12,Endorsements,Closed,Low,Mail,02-04-23 7:00,04-04-23 11:44,04-04-23 11:44,04-04-23 11:44,04-04-23 11:44,2,53,,0,0,,3164,1604,3164,1604,3164,1604,,0,53,0,
337548,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,01-06-23 15:58,01-06-23 15:58,01-06-23 15:58,01-06-23 15:58,7,177,,0,0,,10617,5458,10617,5458,10617,5458,,0,177,0,
337549,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,29-05-23 15:31,29-05-23 15:31,29-05-23 15:31,29-05-23 15:31,4,104,,0,0,,6269,3271,6269,3271,6269,3271,,0,105,0,
338804,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,07-06-23 13:19,07-06-23 13:19,07-06-23 13:19,07-06-23 13:19,12,294,,0,0,,17657,8900,17657,8900,17657,8900,,0,295,0,
337551,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,30-05-23 17:52,30-05-23 17:52,30-05-23 17:52,30-05-23 17:52,5,131,,0,0,,7851,4132,7851,4132,7851,4132,,0,131,0,
337554,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,02-06-23 17:08,02-06-23 17:08,02-06-23 17:08,02-06-23 17:08,8,202,,0,0,,12126,6248,12126,6248,12126,6248,,0,203,0,
337709,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,29-05-23 13:05,29-05-23 13:05,29-05-23 13:05,29-05-23 13:05,4,101,,0,0,,6072,3125,6072,3125,6072,3125,,0,102,0,
337708,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,07-06-23 16:09,07-06-23 16:09,07-06-23 16:09,07-06-23 16:09,13,320,,0,0,,19216,9789,19216,9789,19216,9789,,0,321,0,
338823,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,02-06-23 17:08,02-06-23 17:08,02-06-23 17:08,02-06-23 17:08,7,178,,0,0,,10686,5528,10686,5528,10686,5528,,0,179,0,
337719,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:53,31-05-23 16:35,31-05-23 16:35,31-05-23 16:35,31-05-23 16:35,6,153,,0,0,,9162,4775,9162,4775,9162,4775,,0,153,0,
337589,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,12-06-23 22:10,12-06-23 22:10,12-06-23 22:10,12-06-23 22:10,19,447,,0,0,,26829,13680,26829,13680,26829,13680,,0,448,0,
337509,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,29-05-23 17:24,29-05-23 17:24,29-05-23 17:24,18-06-23 17:36,24,106,,0,0,,6384,3384,6384,3384,6384,3384,,0,107,0,
337532,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:00,31-05-23 16:51,31-05-23 16:51,31-05-23 16:51,31-05-23 16:51,6,154,,0,0,,9231,4791,9231,4791,9231,4791,,0,154,0,
337559,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:01,05-06-23 10:49,05-06-23 10:49,05-06-23 10:49,05-06-23 10:49,11,268,,0,0,,16067,8029,16067,8029,16067,8029,,0,268,0,
338811,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,29-05-23 13:02,29-05-23 13:02,29-05-23 13:02,29-05-23 13:02,3,78,,0,0,,4680,2402,4680,2402,4680,2402,,0,78,0,
338807,6.72163E+12,Endorsements,Closed,Low,Mail,26-05-23 7:02,31-05-23 15:21,31-05-23 15:21,31-05-23 15:21,31-05-23 15:21,5,128,,0,0,,7700,3982,7700,3982,7700,3982,,0,129,0,
337582,6.72163E+12,Endorsements,Closed,Low,Mail,25-05-23 7:02,30-05-23 16:51,30-05-23 16:51,30-05-23 16:51,30-05-23 16:51,5,130,,0,0,,7790,4072,7790,4072,7790,4072,,0,130,0,
339883,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:01,29-05-23 20:49,29-05-23 20:49,29-05-23 20:49,29-05-23 20:49,3,62,,0,0,,3708,2149,3708,2149,3708,2149,,0,62,0,
306680,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:01,20-04-23 22:34,20-04-23 22:34,20-04-23 22:34,20-04-23 22:34,2,40,,0,0,,2373,1440,2373,1440,2373,1440,,0,40,0,
308895,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,21-04-23 15:06,21-04-23 15:06,21-04-23 15:06,20-05-23 6:08,29,8,,0,0,,486,366,486,366,486,366,,0,9,0,
339893,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:01,12-06-23 22:21,12-06-23 22:21,12-06-23 22:21,12-06-23 22:21,17,399,,0,0,,23960,12240,23960,12240,23960,12240,,0,400,0,
292057,6.72163E+12,Endorsements,Closed,Low,Mail,03-04-23 7:00,07-04-23 12:33,07-04-23 12:33,07-04-23 12:33,07-04-23 12:33,4,102,,0,0,,6093,3094,6093,3094,6093,3094,,0,102,0,
339898,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:01,29-05-23 12:23,29-05-23 12:23,29-05-23 12:23,29-05-23 12:23,2,53,,0,0,,3201,1643,3201,1643,3201,1643,,0,54,0,
339848,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:00,28-05-23 21:19,28-05-23 21:19,28-05-23 21:19,28-05-23 21:19,2,38,,0,0,,2299,1440,2299,1440,2299,1440,,0,39,0,
339915,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:02,27-05-23 9:35,27-05-23 9:35,27-05-23 9:35,27-05-23 9:35,0,3,,0,0,,153,35,153,35,153,35,,0,3,0,
339908,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:02,30-05-23 15:43,30-05-23 15:43,30-05-23 15:43,30-05-23 15:43,3,81,,0,0,,4841,2563,4841,2563,4841,2563,,0,81,0,
339906,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:02,29-05-23 16:24,29-05-23 16:24,29-05-23 16:24,29-05-23 16:24,2,57,,0,0,,3442,1884,3442,1884,3442,1884,,0,58,0,
306678,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:01,19-04-23 22:14,19-04-23 22:14,19-04-23 22:14,19-04-23 22:14,1,15,,0,0,,913,720,913,720,913,720,,0,16,0,
306659,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,21-04-23 14:42,21-04-23 14:42,21-04-23 14:42,20-05-23 6:09,31,56,,0,0,,3342,1782,3342,1782,3342,1782,,0,56,0,
306662,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,25-04-23 11:13,25-04-23 11:13,25-04-23 11:13,25-04-23 11:13,6,148,,0,0,,8893,4453,8893,4453,8893,4453,,0,149,0,
306666,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,24-04-23 10:06,24-04-23 10:06,24-04-23 10:06,24-04-23 10:06,5,123,,0,0,,7386,3666,7386,3666,7386,3666,,0,124,0,
306668,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,26-04-23 14:46,26-04-23 14:46,26-04-23 14:46,25-05-23 6:10,36,176,,0,0,,10546,5387,10546,5387,10546,5387,,0,176,0,
308905,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,21-04-23 15:07,21-04-23 15:07,21-04-23 15:07,20-05-23 6:08,29,8,,0,0,,487,367,487,367,487,367,,0,9,0,
308907,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,21-04-23 15:07,21-04-23 15:07,21-04-23 15:07,20-05-23 6:08,29,8,,0,0,,487,368,487,368,487,368,,0,9,0,
308900,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,21-04-23 15:06,21-04-23 15:06,21-04-23 15:06,20-05-23 6:08,29,8,,0,0,,486,367,486,367,486,367,,0,9,0,
306656,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,26-04-23 10:45,26-04-23 10:45,26-04-23 10:45,26-04-23 10:45,7,172,,0,0,,10305,5145,10305,5145,10305,5145,,0,172,0,
320402,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,05-05-23 18:39,05-05-23 18:39,05-05-23 18:39,03-06-23 6:07,29,12,,0,0,,699,579,699,579,699,579,,0,12,0,
320398,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:38,12-05-23 12:38,12-05-23 12:38,07-06-23 6:42,33,174,,0,0,,10418,5259,10418,5259,10418,5259,,0,174,0,
303562,6.72163E+12,Endorsements,Closed,Low,Mail,15-04-23 7:00,21-04-23 16:25,21-04-23 16:25,21-04-23 16:25,20-05-23 6:09,35,153,,0,0,,9205,4765,9205,4765,9205,4765,,0,154,0,
320376,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,05-05-23 18:42,05-05-23 18:42,05-05-23 18:42,03-06-23 6:07,29,12,,0,0,,702,583,702,583,702,583,,0,12,0,
320357,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,29-05-23 16:36,29-05-23 16:36,29-05-23 16:36,29-05-23 16:36,24,586,,0,0,,35136,17736,35136,17736,35136,17736,,0,586,0,
320351,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:50,12-05-23 12:50,12-05-23 12:50,07-06-23 6:42,33,174,,0,0,,10430,5271,10430,5271,10430,5271,,0,174,0,
293182,6.72163E+12,Endorsements,Closed,Low,Mail,04-04-23 7:00,06-04-23 19:32,06-04-23 19:32,06-04-23 19:32,05-05-23 6:08,31,61,,0,0,,3632,2072,3632,2072,3632,2072,,0,61,0,
302584,6.72163E+12,Endorsements,Closed,Low,Mail,14-04-23 7:00,19-04-23 22:14,19-04-23 22:14,19-04-23 22:14,19-04-23 22:14,6,135,,0,0,,8114,4320,8114,4320,8114,4320,,0,136,0,
320391,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:41,12-05-23 12:41,12-05-23 12:41,07-06-23 6:42,33,174,,0,0,,10421,5261,10421,5261,10421,5261,,0,174,0,
321424,6.72163E+12,Endorsements,Closed,Low,Mail,06-05-23 7:00,11-05-23 15:08,11-05-23 15:08,11-05-23 15:08,07-06-23 6:42,32,128,,0,0,,7688,3969,7688,3969,7688,3969,,0,129,0,
320380,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,05-05-23 14:02,05-05-23 14:02,05-05-23 14:02,05-05-23 14:02,0,7,,0,0,,422,302,422,302,422,302,,0,8,0,
339854,6.72163E+12,Endorsements,Closed,Low,Mail,27-05-23 7:00,30-05-23 9:34,30-05-23 9:34,30-05-23 9:34,30-05-23 9:34,3,75,,0,0,,4474,2194,4474,2194,4474,2194,,0,75,0,
320384,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:42,12-05-23 12:42,12-05-23 12:42,07-06-23 6:42,33,174,,0,0,,10422,5263,10422,5263,10422,5263,,0,174,0,
320406,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,10-05-23 8:51,10-05-23 8:51,10-05-23 8:51,10-05-23 8:51,5,122,,0,0,,7311,3600,7311,3600,7311,3600,,0,122,0,
320413,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,11-05-23 15:35,11-05-23 15:35,11-05-23 15:35,07-06-23 6:42,33,153,,0,0,,9155,4715,9155,4715,9155,4715,,0,153,0,
320425,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,11-05-23 15:34,11-05-23 15:34,11-05-23 15:34,07-06-23 6:42,33,153,,0,0,,9154,4714,9154,4714,9154,4714,,0,153,0,
320385,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:41,12-05-23 12:41,12-05-23 12:41,07-06-23 6:42,33,174,,0,0,,10422,5262,10422,5262,10422,5262,,0,174,0,
320386,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,06-05-23 10:25,06-05-23 10:25,06-05-23 10:25,06-05-23 10:25,1,27,,0,0,,1645,806,1645,806,1645,806,,0,28,0,
321426,6.72163E+12,Endorsements,Closed,Low,Mail,06-05-23 7:00,11-05-23 15:08,11-05-23 15:08,11-05-23 15:08,07-06-23 6:42,32,128,,0,0,,7688,3968,7688,3968,7688,3968,,0,129,0,
320377,6.72163E+12,Endorsements,Closed,Low,Mail,05-05-23 7:00,12-05-23 12:43,12-05-23 12:43,12-05-23 12:43,07-06-23 6:42,33,174,,0,0,,10423,5263,10423,5263,10423,5263,,0,174,0,
306655,6.72163E+12,Endorsements,Closed,Low,Mail,19-04-23 7:00,28-04-23 16:52,28-04-23 16:52,28-04-23 16:52,28-04-23 16:52,9,226,,0,0,,13552,6952,13552,6952,13552,6952,,0,226,0,
331309,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,19-05-23 11:09,19-05-23 11:09,19-05-23 11:09,19-05-23 11:09,1,28,,0,0,,1689,850,1689,850,1689,850,,0,29,0,
331338,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,19-05-23 14:37,19-05-23 14:37,19-05-23 14:37,19-05-23 14:37,1,32,,0,0,,1897,1058,1897,1058,1897,1058,,0,32,0,
331336,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,29-05-23 8:40,29-05-23 8:40,29-05-23 8:40,29-05-23 8:40,11,266,,0,0,,15941,7920,15941,7920,15941,7920,,0,266,0,
331328,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,06-06-23 11:13,06-06-23 11:13,06-06-23 11:13,06-06-23 11:13,19,460,,0,0,,27613,13813,27613,13813,27613,13813,,0,461,0,
331321,6.72163E+12,Endorsements,Closed,Low,Mail,18-05-23 7:00,12-06-23 15:51,12-06-23 15:51,12-06-23 15:51,12-06-23 15:51,25,609,,0,0,,36531,18412,36531,18412,36531,18412,,0,609,0,
308909,6.72163E+12,Endorsements,Closed,Low,Mail,21-04-23 7:00,21-04-23 15:08,21-04-23 15:08,21-04-23 15:08,20-05-23 6:08,29,8,,0,0,,488,369,488,369,488,369,,0,9,0,
